species_name,mean_diameter,median_diameter,sd_diameter,range_diameter
CAMPESTRE,8.894003451251079,7.5,5.966308178205208,0
CAMPESTRE,8.894003451251079,7.5,5.966308178205208,33
PLATANOIDES,14.101363370392042,12,10.145651238121523,0
PLATANOIDES,14.101363370392042,12,10.145651238121523,161
RUBRUM,7.677496161568442,6,5.686187168217726,0
RUBRUM,7.677496161568442,6,5.686187168217726,151
